President;Begining;End
Dina Ercilia Boluarte Zegarra;2022;2024
José Pedro Castillo Terrones;2021;2022
Francisco Rafael Sagasti Hochhausler;2020;2021
Manuel Arturo Merino De Lama;2020;2020
Martín Alberto Vizcarra Cornejo;2018;2020
Pedro Pablo Kuczynski Godard;2016;2018
Ollanta Moisés Humala Tasso;2011;2016
Alan García Pérez;2006;2011
Alejandro Toledo Manrique;2001;2006
Valentín Paniagua Corazao;2000;2001
Alberto Fujimori Fujimori;2000;2000
Alberto Fujimori Fujimori;1995;2000
Alberto Fujimori Fujimori;1990;1995
Alan García Pérez;1985;1990
Fernando Belaúnde Terry;1980;1985
Gen. Francisco Morales Bermúdez;1975;1980
Gen. Juan Velasco Alvarado;1968;1975
Fernando Belaúnde Terry;1963;1968
Gen. Nicolás Lindley López;1963;1963
Gen. Ricardo Pío Pérez Godoy;1962;1963
Dr. Manuel Prado y Ugarteche;1956;1962
Gen. Manuel Arturo Amoretti;1950;1956
Zenón Noriega;1950;1950
Gen. Manuel Arturo Amoretti;1948;1950
Dr. José Luis Bustamante y Rivero;1945;1948
Dr. Manuel Prado y Ugarteche;1939;1945
Gen. Oscar Raimundo Benavides;1933;1939
Coronel Luiz Sanchez Cerro;1931;1933
David Samanez Ocampo;1931;1931
Gustavo A. Jimenez;1931;1931
Ricardo Leoncio Elias Arias;1931;1931
Coronel Luis Miguel Sanchez Cerro;1930;1931
Manuel Ponce;1930;1930
Augusto B. Leguia;1919;1930
Jose Pardo y Barreda;1915;1919
Coronel Oscar Raimundo Benavides;1914;1915
Coronel Oscar Raimundo Benavides;1914;1914
Guillermo Enrique Billinghurst;1912;1914
Augusto Bernardino Leguia;1908;1912
Dr. José Pardo y Barreda;1904;1908
Dr. Serapio Calderón;1904;1904
Manuel Candamo;1903;1904
Eduardo López de Romana;1899;1903
Nicolás de Piérola Villena;1895;1899
Manuel Candamo Irriarte;1895;1895
Andrés Avelino Caceres Dorregaray;1894;1895
Justiniano Borgoño;1894;1894
Remigio Morales Bermúdez;1890;1894
Andrés Avelino Caceres Dorregaray;1886;1890
Antonio Arenas Merino;1885;1886
Miguel Iglesias Pino;1884;1885
Miguel Iglesias Pino;1882;1884
Lizardo Montero Flores;1881;1882
Francisco García Calderón Landa;1881;1881
Francisco García Calderón Landa;1881;1881
Nicolás de Pierola Villena;1879;1881
Luis La Puerta Mendoza;1879;1879
Mariano Ignacio Prado;1876;1879
Manuel Pardo Lavalle;1875;1876
Manuel Costas;1874;1875
Manuel Pardo Lavalle;1872;1874
Manuel Herencia Zevallos;1872;1872
Tomás Gutiérrez;1872;1872
José Balta Montero;1868;1872
Pedro Diezcanseco Corbacho;1868;1868
Luis La Puerta Mendoza;1867;1868
Mariano Ignacio Prado;1867;1872
Mariano Ignacio Prado;1865;1867
Pedro Diez Canseco Corbacho;1865;1865
Juan Antonio Pezet y Rodríguez de la Piedra;1863;1865
Pedro Diez Canseco Corbacho;1863;1863
Miguel San Román y Meza;1862;1863
Ramón Castilla y Marquesado;1860;1862
Ramón Castilla y Marquesado;1860;1860
Juan Manuel del Mar;1859;1860
Ramón Castilla y Marquesado;1858;1859
José María Raygada;1857;1858
Ramón Castilla y Marquesado;1855;1857
José Miguel Medina;1854;1855
José Rufino Echenique Benavente;1851;1854
Ramón Castilla y Marquesado;1845;1851
Manuel Menéndez Gorozabel;1844;1845
Justo Modesto Figuerola de Estrada;1844;1844
Manuel Menéndez Gorozabel;1844;1844
Domingo Elías Carbajo;1844;1844
Domingo Nieto y Márquez;1843;1844
Manuel Ignacio Vivanco Iturralde;1843;1844
Justo Figuerola Estrada;1843;1843
Juan Francisco de Vidal la Hoz;1842;1843
Juan Crisóstomo Torrico González;1842;1842
Manuel Menéndez Gorozabel;1841;1842
Manuel Menéndez Gorozabel;1840;1840
Agustín Gamarra Messia;1838;1841
Agustín Gamarra Messia;1839;1839
Pío Tristán y Moscoso;1837;1837
Andrés de Santa Cruz Calaumana;1836;1839
Juan Bautista de Lavalle Zugasti;1835;1835
Agustín Gamarra Messia;1835;1835
Manuel José de Salazar y Baquijano;1835;1835
Felipe Santiago Salaverry del Solar;1835;1836
Manuel José de Salazar y Baquijano;1834;1835
Manuel José de Salazar y Baquijano;1834;1834
Pedro Pablo Bermúdez Ascarza;1834;1834
Luis José de Orbegoso y Moncada;1833;1835
José Braulio del Campo Redondo;1833;1833
Manuel Tellería Vicuña;1832;1832
Andrés Reyes y Buitron;1831;1831
Antonio Gutiérrez de la Fuente;1830;1831
Agustín Gamarra Messia;1829;1833
Antonio Gutiérrez de la Fuente;1829;1829
José Domingo de la Mar Cortazár;1827;1829
Andrés de Santa Cruz Calaumana;1826;1827
José Hipólito Unanue Pavón;1826;1826
José Domingo de la Mar Cortazár;1826;1826
José Hipólito Unanue Pavón;1825;1826
José Domingo de la Mar Cortazár;1825;1825
Simón Bolívar Palacios;1824;1826
José Bernardo de la Torre Tagle y Portocarrero;1823;1823
José Bernardo de la Torre Tagle y Portocarrero;1823;1824
José Bernardo de la Torre Tagle y Portocarrero;1823;1823
Antonio José Francisco de Sucre y Alcalá;1823;1823
Francisco Valdivieso y Prada;1823;1823
José Mariano de la Cruz de la Riva Agüero y Sánchez Boquete;1823;1823
José Bernardo de la Torre Tagle y Portocarrero;1823;1823
José Domingo de la Mar Cortazár;1822;1823
José Bernardo de la Torre Tagle y Portocarrero;1822;1822
Francisco Javier de Luna Pizarro Pacheco;1822;1822
José de San Martín Matorras;1821;1822
José de San Martín Matorras;1821;1821
